Crop,State,Area_ha,Fertilizer_kg_per_ha,Pesticide_kg_per_ha,Yield_t_per_ha,Total_Fertilizer_kg,Total_Pesticide_kg,Total_Yield_t,Temperature_C
mango,Telangana,1.514,237.66,0.822,8.959,359.82,1.245,13.564,33.8
mango,Odisha,1.414,283.09,0.986,16.353,400.29,1.394,23.123,27.24
orange,Gujarat,1.449,192.38,1.145,12.383,278.76,1.659,17.943,19.52
banana,Madhya Pradesh,1.686,551.63,0.8,23.776,930.05,1.349,40.086,22.43
apple,Jammu and Kashmir,1.037,190.21,1.016,22.64,197.25,1.054,23.478,15.66
grapes,Chhattisgarh,1.306,299.55,0.749,9.787,391.21,0.978,12.782,25.13
blackgram,Meghalaya,0.816,39.5,0.343,0.969,32.23,0.28,0.791,26.05
kidneybeans,Andaman and Nicobar Islands,1.167,59.56,0.194,1.703,69.51,0.226,1.987,29.42
grapes,Karnataka,0.598,210.21,0.671,15.55,125.71,0.401,9.299,15.9
cotton,Tripura,2.645,160.89,1.793,1.153,425.55,4.742,3.05,26.17
lentil,Dadra and Nagar Haveli and Daman and Diu,1.272,32.73,0.27,1.069,41.63,0.343,1.36,14.16
banana,Arunachal Pradesh,0.415,394.81,0.747,59.755,163.85,0.31,24.798,34.25
mothbeans,Tripura,1.079,26.64,0.313,0.975,28.74,0.338,1.052,29.8
apple,Haryana,2.051,290.13,0.972,15.507,595.06,1.994,31.805,14.45
jute,Mizoram,0.889,87.27,0.841,3.471,77.58,0.748,3.086,24.58
lentil,Haryana,1.435,27.31,0.223,1.249,39.19,0.32,1.792,10.43
coffee,Manipur,0.66,172.39,0.679,0.74,113.78,0.448,0.488,22.14
orange,Andhra Pradesh,0.307,208.4,0.627,10.938,63.98,0.192,3.358,23.71
lentil,Bihar,1.564,28.93,0.125,0.953,45.25,0.196,1.49,15.52
blackgram,Punjab,0.823,25.13,0.188,0.384,20.68,0.155,0.316,32.58
banana,Telangana,0.847,452.79,0.83,50.848,383.51,0.703,43.068,30.47
kidneybeans,Ladakh,7.798,32.98,0.256,1.848,257.18,1.996,14.411,29.41
pomegranate,Chhattisgarh,0.461,141.8,0.924,24.378,65.37,0.426,11.238,28.69
jute,Andaman and Nicobar Islands,0.518,116.74,0.683,2.604,60.47,0.354,1.349,26.14
papaya,Tamil Nadu,1.865,295.73,0.575,22.782,551.54,1.072,42.488,24.53
lentil,Nagaland,1.355,25.94,0.218,1.484,35.15,0.295,2.011,24.21
coconut,Telangana,2.136,403.73,0.56,5.747,862.37,1.196,12.276,28.33
kidneybeans,Andaman and Nicobar Islands,4.196,31.6,0.356,0.92,132.59,1.494,3.86,25.7
kidneybeans,West Bengal,1.74,34.53,0.369,1.057,60.08,0.642,1.839,20.09
mothbeans,Ladakh,2.417,30.49,0.245,0.461,73.69,0.592,1.114,24.5
papaya,Uttar Pradesh,2.337,220.39,0.774,40.786,515.05,1.809,95.317,25.15
chickpea,Kerala,1.072,21.65,0.361,1.504,23.21,0.387,1.612,18.75
watermelon,Rajasthan,1.205,170.51,0.478,11.473,205.46,0.576,13.825,24.65
mango,Chhattisgarh,1.104,355.22,0.593,16.303,392.16,0.655,17.999,32.69
mango,Ladakh,1.513,175.7,0.844,10.874,265.83,1.277,16.452,32.65
maize,Sikkim,1.608,85.57,0.352,1.861,137.6,0.566,2.992,22.71
banana,Kerala,1.119,452.29,0.73,47.343,506.11,0.817,52.977,30.3
rice,Tripura,0.816,126.85,0.434,3.607,103.51,0.354,2.943,22.4
mothbeans,Himachal Pradesh,1.082,43.24,0.379,0.402,46.79,0.41,0.435,23.03
apple,Manipur,1.208,193.84,0.611,15.424,234.16,0.738,18.632,20.12
kidneybeans,Arunachal Pradesh,0.645,45.44,0.403,0.992,29.31,0.26,0.64,27.42
lentil,Chhattisgarh,0.91,19.99,0.325,1.108,18.19,0.296,1.008,10.46
chickpea,Mizoram,2.081,35.61,0.168,1.815,74.1,0.35,3.777,13.24
kidneybeans,Kerala,2.233,52.98,0.302,1.32,118.3,0.674,2.948,29.5
cotton,Gujarat,1.136,120.99,1.24,2.049,137.44,1.409,2.328,23.75
pigeonpeas,Bihar,0.7,40.05,0.432,0.852,28.03,0.302,0.596,27.43
chickpea,Assam,5.287,28.62,0.154,0.869,151.31,0.814,4.594,21.34
chickpea,West Bengal,2.017,25.79,0.364,0.849,52.02,0.734,1.712,23.0
muskmelon,Uttar Pradesh,0.493,139.81,0.304,20.523,68.93,0.15,10.118,25.16
grapes,Uttar Pradesh,0.862,163.01,0.767,9.804,140.51,0.661,8.451,28.07
lentil,Goa,0.301,36.77,0.145,1.053,11.07,0.044,0.317,14.81
apple,Manipur,0.532,198.26,0.478,26.775,105.47,0.254,14.244,15.37
mungbean,Tripura,0.954,29.42,0.184,0.777,28.07,0.176,0.741,26.93
pigeonpeas,Mizoram,1.889,35.23,0.374,1.318,66.55,0.706,2.49,30.96
chickpea,Himachal Pradesh,6.504,31.29,0.242,1.15,203.51,1.574,7.48,12.31
cotton,Bihar,0.345,150.73,2.811,1.305,52.0,0.97,0.45,21.76
chickpea,Tripura,2.91,21.01,0.339,0.93,61.14,0.986,2.706,23.16
pigeonpeas,Dadra and Nagar Haveli and Daman and Diu,2.523,39.65,0.378,1.099,100.04,0.954,2.773,20.23
grapes,Manipur,0.925,232.67,1.042,11.677,215.22,0.964,10.801,15.63
apple,Andhra Pradesh,0.451,211.69,1.133,10.839,95.47,0.511,4.888,14.23
kidneybeans,Jammu and Kashmir,5.053,43.52,0.311,0.851,219.91,1.571,4.3,27.68
blackgram,Arunachal Pradesh,0.717,43.41,0.259,1.086,31.12,0.186,0.779,25.51
blackgram,Jharkhand,2.908,34.58,0.118,1.203,100.56,0.343,3.498,28.1
pigeonpeas,Himachal Pradesh,3.691,59.72,0.393,1.064,220.43,1.451,3.927,29.47
coffee,West Bengal,3.299,126.59,0.479,0.746,417.62,1.58,2.461,21.86
lentil,Madhya Pradesh,3.343,43.58,0.263,0.9,145.69,0.879,3.009,10.3
cotton,Delhi,3.138,167.66,1.431,1.222,526.12,4.49,3.835,25.47
orange,Tamil Nadu,3.774,215.57,0.614,25.944,813.56,2.317,97.913,23.46
pomegranate,Chhattisgarh,1.458,182.51,1.289,20.838,266.1,1.879,30.382,33.55
orange,West Bengal,1.995,212.33,0.572,12.64,423.6,1.141,25.217,21.63
apple,Delhi,1.746,117.76,0.885,14.699,205.61,1.545,25.664,10.41
mothbeans,Maharashtra,0.933,32.62,0.364,0.702,30.43,0.34,0.655,34.74
coffee,Uttar Pradesh,2.19,172.45,0.613,0.999,377.67,1.342,2.188,20.43
lentil,Chandigarh,7.523,41.04,0.174,0.705,308.74,1.309,5.304,21.77
maize,Chandigarh,0.909,85.55,0.699,3.983,77.76,0.635,3.621,22.91
maize,Rajasthan,0.627,72.38,0.616,4.361,45.38,0.386,2.734,29.21
pomegranate,Haryana,1.551,239.95,1.321,21.108,372.16,2.049,32.739,33.49
muskmelon,Chhattisgarh,2.665,165.97,0.702,14.83,442.31,1.871,39.522,23.58
maize,Kerala,4.302,79.39,0.42,4.886,341.54,1.807,21.02,27.48
mungbean,Andaman and Nicobar Islands,1.338,40.93,0.325,1.122,54.76,0.435,1.501,32.39
jute,Rajasthan,1.383,102.26,1.063,2.677,141.43,1.47,3.702,26.63
maize,West Bengal,3.295,93.06,0.238,2.242,306.63,0.784,7.387,18.62
lentil,Jammu and Kashmir,1.889,22.33,0.341,1.33,42.18,0.644,2.512,22.82
chickpea,Manipur,1.304,25.51,0.237,1.26,33.27,0.309,1.643,24.92
mungbean,Arunachal Pradesh,0.899,42.97,0.203,0.686,38.63,0.182,0.617,30.72
coconut,Himachal Pradesh,6.398,474.92,0.872,8.979,3038.54,5.579,57.448,26.36
coconut,West Bengal,0.348,346.11,0.828,9.624,120.45,0.288,3.349,29.78
cotton,Arunachal Pradesh,1.162,119.54,2.399,1.736,138.91,2.788,2.017,26.47
kidneybeans,Bihar,1.236,53.3,0.327,1.096,65.88,0.404,1.355,23.81
chickpea,Puducherry,1.142,49.34,0.208,1.254,56.35,0.238,1.432,12.0
mothbeans,Himachal Pradesh,0.372,19.21,0.244,0.682,7.15,0.091,0.254,28.43
coffee,Jammu and Kashmir,1.344,129.39,0.799,1.693,173.9,1.074,2.275,22.28
blackgram,Goa,0.7,21.87,0.15,0.77,15.31,0.105,0.539,26.65
cotton,Jammu and Kashmir,0.872,181.59,2.241,1.755,158.35,1.954,1.53,24.07
maize,Manipur,2.676,92.29,0.25,3.784,246.97,0.669,10.126,29.41
mothbeans,Madhya Pradesh,3.376,37.83,0.343,1.031,127.71,1.158,3.481,20.81
lentil,Himachal Pradesh,0.387,29.27,0.251,0.976,11.33,0.097,0.378,18.78
kidneybeans,Bihar,1.528,46.89,0.313,1.265,71.65,0.478,1.933,23.79
banana,Ladakh,0.517,372.06,0.775,45.608,192.36,0.401,23.579,26.03
watermelon,Kerala,0.691,97.51,0.309,22.63,67.38,0.214,15.637,26.36
grapes,Ladakh,0.467,268.16,1.067,12.859,125.23,0.498,6.005,23.05
lentil,Meghalaya,0.566,43.95,0.148,1.309,24.88,0.084,0.741,16.07
blackgram,Madhya Pradesh,1.484,28.21,0.172,0.844,41.86,0.255,1.252,22.63
rice,Telangana,4.595,119.84,0.634,4.855,550.66,2.913,22.309,23.02
pomegranate,Nagaland,0.887,217.44,1.364,24.368,192.87,1.21,21.614,20.83
mango,Gujarat,1.772,349.61,0.617,11.634,619.51,1.093,20.615,34.53
coconut,Mizoram,0.597,458.16,1.107,9.028,273.52,0.661,5.39,30.31
cotton,Puducherry,0.957,150.68,2.104,0.972,144.2,2.014,0.93,23.42
mothbeans,Karnataka,2.655,29.61,0.224,0.863,78.61,0.595,2.291,23.76
mungbean,Tripura,2.397,32.4,0.264,0.446,77.66,0.633,1.069,32.31
lentil,Jammu and Kashmir,0.354,45.15,0.223,1.64,15.98,0.079,0.581,22.64
grapes,Andaman and Nicobar Islands,2.926,160.63,0.854,15.349,470.0,2.499,44.911,18.46
pigeonpeas,Uttarakhand,1.071,58.62,0.172,1.579,62.78,0.184,1.691,23.05
banana,Bihar,2.076,550.6,0.898,47.524,1143.05,1.864,98.66,24.87
maize,Himachal Pradesh,4.593,93.68,0.369,2.914,430.27,1.695,13.384,27.9
banana,Odisha,1.344,404.11,0.767,25.174,543.12,1.031,33.834,23.35
muskmelon,Himachal Pradesh,2.215,159.19,0.722,8.755,352.61,1.599,19.392,25.75
grapes,Kerala,0.996,211.6,1.073,12.657,210.75,1.069,12.606,27.77
lentil,Meghalaya,2.245,40.2,0.272,1.01,90.25,0.611,2.267,24.79
watermelon,Telangana,0.332,159.48,0.874,17.052,52.95,0.29,5.661,29.91
banana,Kerala,0.557,492.18,0.695,23.283,274.14,0.387,12.969,23.97
apple,Tamil Nadu,0.413,261.77,1.294,30.066,108.11,0.534,12.417,19.23
mango,Chhattisgarh,8.411,156.91,1.066,17.799,1319.77,8.966,149.707,33.45
mothbeans,Gujarat,0.314,21.34,0.312,0.687,6.7,0.098,0.216,20.79
banana,Chandigarh,0.762,277.66,1.225,33.243,211.58,0.933,25.331,31.4
orange,Mizoram,3.391,156.76,0.638,25.218,531.57,2.163,85.514,21.3
orange,Tripura,3.895,197.27,1.035,27.67,768.37,4.031,107.775,22.27
apple,Assam,1.883,208.85,1.116,21.124,393.26,2.101,39.776,24.72
jute,Meghalaya,0.877,82.22,0.722,2.452,72.11,0.633,2.15,29.41
mango,Jammu and Kashmir,1.514,172.82,0.938,8.192,261.65,1.42,12.403,32.75
rice,Gujarat,0.489,145.46,0.773,3.928,71.13,0.378,1.921,22.13
grapes,Maharashtra,1.239,305.3,0.505,11.953,378.27,0.626,14.81,28.85
chickpea,Madhya Pradesh,1.47,45.72,0.25,0.995,67.21,0.368,1.463,10.86
papaya,Assam,2.03,226.53,1.025,36.718,459.86,2.081,74.538,29.34
maize,Nagaland,0.32,69.13,0.2,3.69,22.12,0.064,1.181,28.71
muskmelon,Punjab,7.575,160.01,0.811,19.615,1212.08,6.143,148.584,22.24
papaya,Ladakh,2.604,299.01,0.727,39.471,778.62,1.893,102.782,25.62
jute,Delhi,0.343,119.5,0.848,3.125,40.99,0.291,1.072,26.41
maize,Ladakh,1.676,90.33,0.647,3.161,151.39,1.084,5.298,18.56
apple,Puducherry,0.353,189.82,0.618,29.221,67.01,0.218,10.315,19.37
pigeonpeas,Kerala,0.413,38.63,0.466,1.089,15.95,0.192,0.45,29.97
coffee,Karnataka,0.922,115.64,0.945,0.945,106.62,0.871,0.871,19.07
apple,Kerala,2.604,285.45,0.941,17.336,743.31,2.45,45.143,19.7
coconut,Punjab,1.339,627.07,0.539,7.586,839.65,0.722,10.158,26.77
lentil,Meghalaya,2.515,44.59,0.24,1.59,112.14,0.604,3.999,17.09
mango,West Bengal,0.605,260.67,0.843,18.749,157.71,0.51,11.343,27.58
muskmelon,Uttarakhand,1.623,164.72,0.764,15.37,267.34,1.24,24.946,28.7
jute,Chhattisgarh,1.531,157.07,0.503,2.501,240.47,0.77,3.829,23.01
cotton,Assam,2.53,164.58,1.104,2.161,416.39,2.793,5.467,21.58
orange,Kerala,1.456,131.28,0.738,12.092,191.14,1.075,17.606,20.46
pomegranate,Meghalaya,1.206,239.57,1.061,20.636,288.92,1.28,24.887,18.13
blackgram,Chandigarh,1.94,23.95,0.308,1.404,46.46,0.598,2.724,26.97
rice,Uttar Pradesh,1.45,110.41,0.521,3.782,160.09,0.755,5.484,27.01
mothbeans,Madhya Pradesh,1.746,31.2,0.305,1.078,54.48,0.533,1.882,30.95
muskmelon,West Bengal,0.897,92.41,0.704,9.295,82.89,0.631,8.338,20.87
watermelon,Arunachal Pradesh,7.55,84.08,0.883,10.898,634.8,6.667,82.28,20.4
lentil,Gujarat,1.77,26.4,0.131,1.15,46.73,0.232,2.035,13.73
pigeonpeas,Telangana,2.737,44.79,0.376,1.166,122.59,1.029,3.191,21.72
grapes,Rajasthan,0.942,185.86,1.294,13.464,175.08,1.219,12.683,28.51
mothbeans,Nagaland,2.18,26.87,0.181,0.547,58.58,0.395,1.192,21.83
pomegranate,Mizoram,0.63,188.97,0.981,13.994,119.05,0.618,8.816,17.65
jute,Mizoram,3.325,132.58,0.4,3.057,440.83,1.33,10.165,27.04
watermelon,Gujarat,0.885,133.35,0.425,19.444,118.01,0.376,17.208,22.27
coffee,Puducherry,0.973,182.18,0.732,1.72,177.26,0.712,1.674,22.74
jute,Meghalaya,0.431,79.22,0.607,3.06,34.14,0.262,1.319,27.23
apple,Madhya Pradesh,1.341,111.16,0.512,20.595,149.07,0.687,27.618,19.82
jute,Manipur,3.725,139.7,0.739,2.163,520.38,2.753,8.057,28.82
orange,Jammu and Kashmir,3.454,264.84,0.889,14.294,914.76,3.071,49.371,18.79
mango,Meghalaya,1.601,202.44,0.619,12.702,324.11,0.991,20.336,26.9
kidneybeans,Nagaland,1.487,35.12,0.341,1.487,52.22,0.507,2.211,26.09
watermelon,Andhra Pradesh,0.314,178.34,0.417,10.55,56.0,0.131,3.313,23.87
pigeonpeas,Goa,1.004,56.38,0.183,1.905,56.61,0.184,1.913,22.1
cotton,Puducherry,0.421,180.63,2.749,2.373,76.05,1.157,0.999,28.44
orange,Jammu and Kashmir,1.095,238.09,0.796,12.044,260.71,0.872,13.188,24.71
watermelon,Himachal Pradesh,1.968,85.33,0.613,14.893,167.93,1.206,29.309,20.65
muskmelon,Assam,1.598,86.55,0.421,20.97,138.31,0.673,33.51,29.56
cotton,Punjab,0.678,159.76,1.527,1.114,108.32,1.035,0.755,22.01
kidneybeans,Telangana,2.236,42.11,0.371,1.916,94.16,0.83,4.284,20.76
chickpea,Punjab,1.75,35.72,0.241,0.84,62.51,0.422,1.47,20.99
blackgram,Goa,1.976,37.08,0.273,0.597,73.27,0.539,1.18,28.29
lentil,Rajasthan,2.378,22.31,0.367,0.811,53.05,0.873,1.929,13.5
jute,Chandigarh,3.468,128.18,0.782,2.681,444.53,2.712,9.298,25.26
pomegranate,Haryana,3.062,223.6,0.588,13.786,684.66,1.8,42.213,31.91
muskmelon,Uttarakhand,0.89,159.08,0.783,8.859,141.58,0.697,7.885,24.4
coconut,Mizoram,0.829,419.61,0.924,7.649,347.86,0.766,6.341,28.23
banana,Telangana,1.514,398.36,0.965,51.679,603.12,1.461,78.242,32.58
muskmelon,Dadra and Nagar Haveli and Daman and Diu,3.074,119.02,0.702,11.774,365.87,2.158,36.193,20.62
banana,Gujarat,1.15,412.35,0.903,28.551,474.2,1.038,32.834,28.58
maize,Tamil Nadu,1.876,91.24,0.362,4.548,171.17,0.679,8.532,23.2
lentil,Odisha,3.512,31.98,0.23,1.427,112.31,0.808,5.012,20.67
grapes,Puducherry,1.989,167.37,1.212,17.797,332.9,2.411,35.398,26.98
coffee,Kerala,1.663,133.1,0.556,0.589,221.35,0.925,0.98,21.75
chickpea,Bihar,0.531,41.28,0.262,0.958,21.92,0.139,0.509,10.81
mungbean,Bihar,0.395,31.52,0.278,0.697,12.45,0.11,0.275,25.35
lentil,Tripura,0.383,24.09,0.152,1.095,9.23,0.058,0.419,24.23
blackgram,Andaman and Nicobar Islands,4.542,41.45,0.252,1.538,188.27,1.145,6.986,29.46
banana,Uttar Pradesh,1.001,607.67,1.372,38.682,608.28,1.373,38.721,25.39
jute,Telangana,1.37,81.24,0.928,3.822,111.3,1.271,5.236,23.12
mango,Mizoram,3.847,156.09,0.493,16.374,600.48,1.897,62.991,24.36
mothbeans,West Bengal,1.442,43.14,0.101,1.033,62.21,0.146,1.49,20.53
mothbeans,Telangana,2.012,36.75,0.208,0.311,73.94,0.418,0.626,25.0
watermelon,Sikkim,0.506,96.66,0.867,25.263,48.91,0.439,12.783,22.61
blackgram,Himachal Pradesh,2.422,35.66,0.354,0.491,86.37,0.857,1.189,24.09
orange,Uttar Pradesh,1.835,178.75,1.076,18.279,328.01,1.974,33.542,26.68
watermelon,Goa,2.901,95.24,0.577,21.925,276.29,1.674,63.604,22.48
apple,Arunachal Pradesh,0.399,157.14,1.022,12.001,62.7,0.408,4.788,17.22
apple,Gujarat,0.747,114.45,1.079,20.09,85.49,0.806,15.007,16.88
coffee,Arunachal Pradesh,0.949,103.96,0.494,1.616,98.66,0.469,1.534,22.35
blackgram,Uttar Pradesh,0.543,22.98,0.26,1.26,12.48,0.141,0.684,31.55
watermelon,Uttar Pradesh,0.604,128.13,0.646,22.534,77.39,0.39,13.611,26.22
cotton,Maharashtra,2.141,130.68,2.572,1.046,279.79,5.507,2.239,27.28
maize,Gujarat,1.543,86.04,0.503,3.01,132.76,0.776,4.644,25.04
blackgram,Mizoram,5.244,41.93,0.32,1.076,219.88,1.678,5.643,28.72
grapes,Assam,0.572,272.8,0.936,14.926,156.04,0.535,8.538,16.74
chickpea,Karnataka,0.943,24.77,0.354,1.763,23.36,0.334,1.663,14.49
grapes,Dadra and Nagar Haveli and Daman and Diu,0.639,142.84,0.746,16.487,91.27,0.477,10.535,29.39
coconut,Arunachal Pradesh,1.893,709.69,0.783,11.231,1343.44,1.482,21.26,26.78
banana,Telangana,1.685,646.44,1.483,39.933,1089.25,2.499,67.287,33.43
mungbean,Uttar Pradesh,2.185,27.01,0.142,0.448,59.02,0.31,0.979,32.44
mothbeans,Madhya Pradesh,0.94,40.85,0.395,0.831,38.4,0.371,0.781,34.14
cotton,Jammu and Kashmir,2.894,177.92,1.815,1.739,514.9,5.253,5.033,25.25
kidneybeans,Assam,4.497,47.37,0.217,1.542,213.02,0.976,6.934,25.14
cotton,Maharashtra,0.912,157.41,1.317,1.902,143.56,1.201,1.735,25.79
watermelon,Chhattisgarh,1.45,112.9,0.606,16.91,163.71,0.879,24.52,20.86
coconut,Goa,1.087,616.74,0.71,10.176,670.4,0.772,11.061,25.47
grapes,Chhattisgarh,1.296,198.09,0.573,15.393,256.72,0.743,19.949,17.92
apple,Uttar Pradesh,1.001,275.14,0.784,28.524,275.42,0.785,28.553,17.68
papaya,Tamil Nadu,4.556,288.12,1.113,24.83,1312.67,5.071,113.125,27.89
rice,Jammu and Kashmir,1.219,144.46,0.539,4.048,176.1,0.657,4.935,20.83
watermelon,Sikkim,4.864,177.92,0.747,17.941,865.4,3.633,87.265,31.73
coffee,Sikkim,3.169,148.54,0.821,1.517,470.72,2.602,4.807,23.01
apple,Madhya Pradesh,2.264,130.57,0.659,12.351,295.61,1.492,27.963,18.62
grapes,Manipur,0.678,180.43,0.698,11.14,122.33,0.473,7.553,16.27
mango,Meghalaya,0.336,220.36,0.911,14.084,74.04,0.306,4.732,30.79
coconut,Karnataka,3.113,328.47,0.96,12.336,1022.53,2.988,38.402,30.03
lentil,Uttar Pradesh,1.497,38.86,0.288,0.958,58.17,0.431,1.434,16.0
mungbean,Ladakh,0.399,39.7,0.174,0.46,15.84,0.069,0.184,27.52
muskmelon,Goa,0.427,128.98,0.411,14.289,55.07,0.175,6.101,21.19
coconut,Nagaland,1.424,416.86,0.959,11.597,593.61,1.366,16.514,29.8
orange,Andaman and Nicobar Islands,0.6,246.7,0.847,15.878,148.02,0.508,9.527,20.77
muskmelon,Uttar Pradesh,0.492,169.44,0.614,22.386,83.36,0.302,11.014,22.17
orange,Bihar,0.526,215.33,0.729,11.969,113.26,0.383,6.296,20.88
pigeonpeas,Tripura,4.445,68.26,0.43,0.835,303.42,1.911,3.712,28.29
apple,Mizoram,0.32,146.08,1.105,15.672,46.75,0.354,5.015,18.29
chickpea,Odisha,0.513,38.54,0.236,0.879,19.77,0.121,0.451,18.24
blackgram,Madhya Pradesh,0.306,29.52,0.14,1.102,9.03,0.043,0.337,27.73
coffee,Delhi,5.386,166.13,0.76,0.496,894.78,4.093,2.671,21.31
kidneybeans,Delhi,2.615,47.73,0.219,1.278,124.81,0.573,3.342,18.93
coconut,Chandigarh,0.338,655.68,0.657,5.804,221.62,0.222,1.962,25.07
chickpea,Nagaland,0.558,43.27,0.246,1.63,24.14,0.137,0.91,24.75
mothbeans,Punjab,1.612,31.4,0.194,0.532,50.62,0.313,0.858,21.31
mothbeans,Chandigarh,4.612,40.02,0.355,1.211,184.57,1.637,5.585,21.23
grapes,Andaman and Nicobar Islands,1.818,183.2,1.025,13.322,333.06,1.863,24.219,21.92
chickpea,Kerala,4.069,28.97,0.283,1.613,117.88,1.152,6.563,19.84
orange,Karnataka,1.996,233.31,1.064,18.602,465.69,2.124,37.13,23.91
lentil,Andhra Pradesh,0.649,45.53,0.214,0.875,29.55,0.139,0.568,11.98
blackgram,Dadra and Nagar Haveli and Daman and Diu,0.951,44.75,0.157,0.893,42.56,0.149,0.849,31.14
banana,Nagaland,0.745,346.5,0.971,58.32,258.14,0.723,43.448,32.29
coconut,Kerala,1.415,657.82,0.715,9.692,930.82,1.012,13.714,24.13
orange,Odisha,1.047,270.72,0.894,14.502,283.44,0.936,15.184,29.06
rice,Andhra Pradesh,1.282,155.19,0.66,4.216,198.95,0.846,5.405,20.76
mungbean,Punjab,1.382,39.18,0.262,1.139,54.15,0.362,1.574,30.73
coconut,Kerala,2.585,391.05,1.0,8.65,1010.86,2.585,22.36,24.64
grapes,Goa,0.876,198.98,0.558,14.139,174.31,0.489,12.386,27.91
mothbeans,Jharkhand,0.741,29.98,0.237,1.197,22.22,0.176,0.887,31.49
coconut,Tripura,1.605,616.28,1.129,9.003,989.13,1.812,14.45,29.87
kidneybeans,Manipur,2.376,51.74,0.288,1.912,122.93,0.684,4.543,22.94
coconut,Assam,0.743,435.66,0.539,11.697,323.7,0.4,8.691,30.58
mothbeans,Karnataka,0.805,34.71,0.3,0.454,27.94,0.242,0.365,21.37
banana,Arunachal Pradesh,2.757,524.95,1.222,23.647,1447.29,3.369,65.195,21.13
orange,Gujarat,6.803,257.24,0.729,12.104,1750.0,4.959,82.344,19.59
watermelon,Jharkhand,0.626,79.31,0.501,17.636,49.65,0.314,11.04,28.45
coffee,Arunachal Pradesh,1.306,169.93,0.915,0.979,221.93,1.195,1.279,19.54
blackgram,Mizoram,2.263,38.53,0.223,0.605,87.19,0.505,1.369,25.91
muskmelon,Uttar Pradesh,2.945,142.61,0.416,17.461,419.99,1.225,51.423,23.1
coffee,Himachal Pradesh,0.468,186.74,0.719,1.413,87.39,0.336,0.661,22.23
muskmelon,West Bengal,0.71,101.22,0.297,12.898,71.87,0.211,9.158,23.01
apple,Puducherry,1.416,243.36,0.832,11.681,344.6,1.178,16.54,15.15
banana,Puducherry,1.435,409.83,0.801,28.323,588.11,1.149,40.644,27.79
maize,Madhya Pradesh,1.027,98.08,0.186,2.056,100.73,0.191,2.112,23.76
muskmelon,Madhya Pradesh,0.624,191.42,0.675,18.982,119.45,0.421,11.845,28.09
blackgram,Chhattisgarh,0.462,33.07,0.2,1.525,15.28,0.092,0.705,33.91
apple,Odisha,1.263,270.19,1.134,24.092,341.25,1.432,30.428,18.18
blackgram,Karnataka,2.854,39.62,0.351,0.922,113.08,1.002,2.631,25.07
mothbeans,Karnataka,1.994,35.2,0.263,0.772,70.19,0.524,1.539,34.72
watermelon,Tripura,0.736,193.94,0.467,15.88,142.74,0.344,11.688,27.37
banana,Madhya Pradesh,0.336,346.02,1.088,30.152,116.26,0.366,10.131,25.75
watermelon,Odisha,0.935,130.45,0.32,11.208,121.97,0.299,10.479,21.35
mothbeans,Gujarat,0.862,28.51,0.404,1.096,24.58,0.348,0.945,31.73
rice,Sikkim,0.374,156.53,0.716,3.89,58.54,0.268,1.455,22.83
coconut,Haryana,1.073,301.7,0.682,5.159,323.72,0.732,5.536,27.61
mango,Goa,0.843,330.93,0.634,9.513,278.97,0.534,8.019,30.47
grapes,Andhra Pradesh,2.394,120.07,0.772,11.122,287.45,1.848,26.626,29.65
pomegranate,Himachal Pradesh,1.556,233.02,1.215,16.587,362.58,1.891,25.809,28.82
kidneybeans,Goa,1.141,36.13,0.366,1.47,41.22,0.418,1.677,26.98
grapes,Jharkhand,0.435,267.34,1.033,11.345,116.29,0.449,4.935,24.33
jute,Tamil Nadu,0.483,129.4,0.492,3.131,62.5,0.238,1.512,23.47
rice,Goa,4.516,133.12,0.391,3.765,601.17,1.766,17.003,30.73
cotton,Andhra Pradesh,3.444,145.43,2.585,1.888,500.86,8.903,6.502,25.68
mungbean,Uttarakhand,4.338,42.56,0.105,0.859,184.63,0.455,3.726,22.87
blackgram,Mizoram,0.543,35.02,0.402,0.821,19.02,0.218,0.446,32.75
kidneybeans,Himachal Pradesh,0.77,48.68,0.282,1.443,37.48,0.217,1.111,24.72
rice,Dadra and Nagar Haveli and Daman and Diu,4.124,98.91,0.311,3.127,407.9,1.283,12.896,29.94
grapes,Odisha,0.69,138.02,0.68,19.891,95.23,0.469,13.725,28.35
apple,Odisha,2.107,229.44,1.056,16.679,483.43,2.225,35.143,10.2
pomegranate,Dadra and Nagar Haveli and Daman and Diu,3.149,174.85,0.885,19.669,550.6,2.787,61.938,21.4
pigeonpeas,Andaman and Nicobar Islands,0.438,34.83,0.301,1.271,15.26,0.132,0.557,25.87
maize,Assam,1.442,80.2,0.588,4.032,115.65,0.848,5.814,26.77
maize,Maharashtra,1.051,88.49,0.582,2.349,93.0,0.612,2.469,22.88
apple,Rajasthan,4.425,282.98,0.941,13.054,1252.19,4.164,57.764,20.11
pigeonpeas,Punjab,1.977,57.64,0.214,1.209,113.95,0.423,2.39,23.25
coconut,Chhattisgarh,5.202,586.31,1.02,11.576,3049.98,5.306,60.218,25.36
pigeonpeas,West Bengal,0.72,49.76,0.49,1.764,35.83,0.353,1.27,22.33
papaya,Andhra Pradesh,1.01,302.95,1.122,27.93,305.98,1.133,28.209,31.1
papaya,Puducherry,2.27,211.76,0.996,34.726,480.7,2.261,78.828,26.28
chickpea,Mizoram,1.342,45.65,0.149,1.154,61.26,0.2,1.549,13.49
